Group,Author,uTime,Normal Time,HH:MM:SS,Text,Permalink,Likes
zoommemes,Anastasios Bouikidis,1593236975,2020-06-27 05:49:35 PDT-0700,05:49:35,Dwight you ignorant slut,,3800
zoommemes,Things that are not aesthetic,1593237025,2020-06-27 05:50:25 PDT-0700,05:50:25,When you try to escape reality through Community 1x08 Edit Holy crap<comma> I didnt expect over 1K likes ,,1100
zoommemes,Jesse Uwu,1593237651,2020-06-27 06:00:51 PDT-0700,06:00:51,,,5500
zoommemes,Justin Kern,1592508959,2020-06-18 19:35:59 PDT-0700,19:35:59,,,13000
zoommemes,Maya Dorji Choeki,1592293465,2020-06-16 07:44:25 PDT-0700,07:44:25,What 2020 has been like,,5800
zoommemes,Micah Wormack,1593204391,2020-06-26 20:46:31 PDT-0700,20:46:31,,,2200
zoommemes,Daws McCoy,1592554633,2020-06-19 08:17:13 PDT-0700,08:17:13,,,10000
zoommemes,Armin Jorgenson,1593204347,2020-06-26 20:45:47 PDT-0700,20:45:47,Even Youtube ads have given up...,,186
zoommemes,Joseph Chambers,1593197966,2020-06-26 18:59:26 PDT-0700,18:59:26,Changing the American flag httpsvm.tiktok.comJeT9KDM,,1300
zoommemes,Rachel Blau,1592286493,2020-06-16 05:48:13 PDT-0700,05:48:13,,,16000
zoommemes,Mel Fine,1592402759,2020-06-17 14:05:59 PDT-0700,14:05:59,when your sleep cycle doesnt work anymore,,27000
zoommemes,Tomi Odukoya,1593107422,2020-06-25 17:50:22 PDT-0700,17:50:22,If this AINT me,,100
zoommemes,rigatomii,1592564100,2020-06-19 10:55:00 PDT-0700,10:55:00,,,13000
zoommemes,Bryan Welch,1592867816,2020-06-22 23:16:56 PDT-0700,23:16:56,daily mood,,3200
zoommemes,Steven Bishop,1592554568,2020-06-19 08:16:08 PDT-0700,08:16:08,,,2100
zoommemes,Stevie Emerson,1593107748,2020-06-25 17:55:48 PDT-0700,17:55:48,If Im not doing things to put off sleep<comma> Im sleeping to put off doing things.,,1100
zoommemes,Kyle Barrett,1593042955,2020-06-24 23:55:55 PDT-0700,23:55:55,Quarantine out here making artists... Turning a slice of  into a ,,1700
zoommemes,Brandon Waters,1593107967,2020-06-25 17:59:27 PDT-0700,17:59:27,,,2500
